ID,Pulsating,frequency,amplitudeRV,offsetRV,refepochRV,phase,D1_Ps,D1_Tobs,D2_noiseRV_mean,D2_noiseRV_median,D2_noiseRV_stdev,D3_samplingRV_idx,D3_PsRV_mean,D3_PsRV_median,D3_PsRV_stdev,D3_NumRV,D4_noiseRV_mean,D4_noiseRV_median,D4_noiseRV_stdev,ds1_file,ds2_file,ds3_file,ds4_file
RV-0,True,54.70317260863487,1.1330976007892246,640.4762575113282,2457652.757681956,0.737926857706589,0.0025,0.25,0.24405985219362036,0.7291659526801633,3.3211252262101763,49,30.683447254903832,9.072849999647588,83.35256095931905,52,-0.41684225120474394,-0.6593036399563355,2.9892824065114376,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-0.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-0.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-0.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-0.dat
RV-1,True,45.8705150272405,0.9457381975475257,1392.8251711477378,2458555.9191124975,0.604098712533947,0.0025,0.25,-0.06490626546892163,-0.5009589502023277,2.9724142520043393,223,104.23104375001276,11.596005000174046,161.69168407556182,9,0.7798226295208304,1.4492565019138948,2.0490674561089484,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-1.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-1.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-1.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-1.dat
RV-2,False,0.0,0.0,1799.2687033631473,2457478.540948537,0.0,0.0025,0.25,0.2998345466816112,-0.4879108823963869,3.3102113208641115,336,83.77099200000987,17.8676300002262,200.84030793462742,26,-0.33442477388437236,-0.6531483876871165,2.803446653141767,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-2.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-2.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-2.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-2.dat
RV-3,False,0.0,0.0,918.0078848920803,2457611.735507834,0.0,0.0025,0.25,0.03279792056822535,0.6437766749104957,2.9868471967855976,317,51.459363999962804,24.89642999973148,66.2400659333618,6,0.8541713551562836,1.3195611735963835,3.0213104020149895,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-3.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-3.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-3.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-3.dat
RV-4,True,69.5032273171798,1.4470381552129052,-1375.321599178505,2460177.0958391256,0.9621701108663608,0.0025,0.25,-0.40338741947422657,-0.8745344182592585,2.453972254012809,194,244.3412033333443,63.321765000000596,303.82308231852664,7,0.5919934501528038,-0.4735966113943777,3.3435367452111393,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-4.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-4.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-4.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-4.dat
RV-5,True,40.84959481228514,0.8392338293515029,988.3442236309938,2457837.014987719,0.5280241638225022,0.0025,0.25,0.38995146284820026,0.4584071799816812,2.6569307490124423,60,50.46781217391886,20.943529999814928,88.26126003394388,24,-0.7309484718966949,-1.029147403819328,2.514683370989942,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-5.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-5.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-5.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-5.dat
RV-6,True,43.3336025668642,0.891924902933483,-937.4610752311219,2457875.471812564,0.5656606449524879,0.0025,0.25,-0.5616280589395323,-0.7138808922287092,2.74194260928319,171,28.031431538461206,10.074959999881685,40.90903818082838,66,0.005529059496282994,-0.006103250355485923,2.4919819331524646,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-6.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-6.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-6.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-6.dat
RV-7,False,0.0,0.0,-2897.025037092034,2457549.4226703714,0.0,0.0025,0.25,-0.3997750253546715,-0.6241273830873192,2.3729114950434624,331,88.40690999990329,33.98603000026196,79.12812090030795,4,0.3585608785367867,0.10922674094493295,1.2930818635930612,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-7.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-7.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-7.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-7.dat
RV-8,False,0.0,0.0,677.574343852847,2457401.271192142,0.0,0.0025,0.25,0.09391302414228432,0.4743286141716653,3.028352169954972,99,37.0746619607888,15.987470000050962,56.73539406418692,52,-0.9835481011295927,-1.288869905799854,3.4766471682568567,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-8.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-8.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-8.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-8.dat
RV-9,True,48.013184059495764,0.9911887527771828,-315.77117147653735,2457903.1863323958,0.6365633948408449,0.0025,0.25,0.070706542266136,-0.42948623115045476,3.5375705787962013,153,45.5352479999885,11.02273999992758,88.07706668203753,36,0.3351846832328237,0.5265817501687439,2.7612254740227513,./RV_DATASETS/DS1_ts_files/DS1-RV-RV-9.dat,./RV_DATASETS/DS2_ts_files/DS2-RV-RV-9.dat,./RV_DATASETS/DS3_ts_files/DS3-RV-RV-9.dat,./RV_DATASETS/DS4_ts_files/DS4-RV-RV-9.dat
